PRGS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_AGE,HUM_1_STA,HUM_2_FW,HUM_2_AGE,HUM_2_STA,HUM_1_POS_X,HUM_1_POS_Y,HUM_2_POS_X,HUM_2_POS_Y,ROB_1_VEL,ROB_1_CHG,SCS,FTG
<<<<<<< HEAD
0,7.113484748988526,3.1314736574259356,0.7741118915354376,0.25169949852595663,253,37.34662891092175,57.019910885697975,0.0,0,1,2.0,0,0,2184.49,263.17,70.15,332.47,79.06069836468772,11.43778415,0.09,0.03738974285714285
3,6.074160714153045,2.0956996484615447,0.7825294478418524,0.302692194541028,311,99.07604663800758,69.08333685843068,0.0,0,1,1.0,0,1,398.58,160.42,2814.54,198.06,67.79126944767891,11.60339367,0.44,0.04275000000000001
5,5.6827576819868915,3.7221590657307084,0.7249979868674795,0.36499182736174296,162,74.31248418073059,54.78367511273221,0.0,0,1,2.0,0,2,2957.69,197.54,2895.71,200.36,72.66539396385768,12.02628752,1.0,0.0
0,6.540822869774106,3.9839719774014797,0.6585915162340324,0.37993617007528296,343,98.32466465502202,74.42844737831831,2.0,1,1,2.0,1,0,3992.77,789.41,1400.13,767.97,53.313986324747596,11.19720196,0.13,0.16717203571428577
0,6.95768423798863,4.06736242916038,0.5685776538284517,0.1620757129047383,499,40.04384498998799,30.293612001056573,1.0,0,0,0.0,0,2,2395.67,515.35,2973.66,264.56,82.95644884847792,11.67045035,0.13,0.007532891666666667
0,6.365867040050933,4.257860530797297,0.5231410043180171,0.39201619551299594,395,47.7598240903081,31.167573839872624,0.0,1,0,2.0,1,1,3537.6,727.65,3282.57,257.79,81.14692458279248,11.5080543,0.38,0.013465741666666656
1,5.018905710815638,2.956160208866801,0.5968164382119073,0.31200293709972854,305,48.39776612151697,71.93735553858356,1.0,1,1,1.0,1,2,106.39,414.63,1398.98,761.93,93.61597373264335,11.61138789,0.7,0.3712048
0,5.010930966094001,3.540774165672265,0.7430266854152499,0.14651827489574165,1,30.40431301598189,37.57634561136843,1.0,1,0,2.0,1,1,335.34,167.56,4434.23,442.63,98.56257012000442,11.72311379,0.65,0.0036060000000000024
0,5.004994008648686,2.07279880519521,0.6600209501320974,0.1084079317651445,330,97.61534775561414,53.64197835843204,2.0,1,2,2.0,1,1,801.43,728.17,364.2,741.87,63.87652645139144,11.71597905,0.74,0.11205626666666665
0,5.034664617282286,2.1308088703298598,0.7798910880315361,0.38582644978629044,435,53.87693993352118,41.46925309349518,1.0,0,2,1.0,1,0,3599.64,770.47,4445.72,743.68,99.45030457981396,12.105456,0.76,0.38574872499999996
0,5.03796710684654,2.083138080612782,0.6187439798449003,0.35635463999789546,406,70.58216534720579,61.63406156322736,2.0,0,1,2.0,1,2,4435.4,584.89,110.12,754.44,59.59789226188568,12.36326458,0.77,0.0891293333333333
1,5.0149286090721,2.046355399075876,0.522526932017071,0.3757679250683878,389,42.410593825186986,65.22315114346198,2.0,1,1,2.0,1,0,110.69,488.87,519.32,262.95,77.37768273773692,11.13677176,0.6,0.105832
0,6.01744205624897,2.0230886503293246,0.5863022338147036,0.342027011446709,316,45.46904995345612,63.876286654683625,0.0,0,1,1.0,1,1,3899.4,774.18,4010.89,767.06,78.34710361153354,11.25363673,0.35,0.12211972500000004
0,5.003695718735956,2.005774240347494,0.7790771241414193,0.14696062585919095,571,34.71957275574263,37.79472387586186,1.0,1,2,0.0,0,1,4231.44,255.66,1354.43,361.91,69.09532161956079,11.53255844,0.8,0.3471101154761904
0,5.013780020522514,2.1291876861930583,0.5864461170463566,0.1587897176275701,126,71.02958276317901,56.21926386687721,0.0,0,1,2.0,0,0,2184.49,263.17,70.15,332.47,71.35474778775256,11.39983005,0.63,0.04509866071428571
5,6.058791581746965,3.9363108982550017,0.5970128292542111,0.36499182736174296,1,73.64540428750992,43.028144695566766,2.0,1,1,0.0,0,2,2762.19,194.35,2889.94,193.49,64.58210218769862,12.21115737,0.97,0.0
0,5.0093967837629,2.076651790363229,0.7731646154641485,0.2561870286309155,105,37.33527110095554,36.716727315154316,1.0,0,2,1.0,1,0,272.48,136.23,2652.23,681.42,63.91651310817516,11.35924282,0.6,0.19586416666666673
0,6.47564738198673,2.048625864891367,0.7081283060443299,0.15244659167611208,451,97.41954704678668,49.028942882076656,1.0,1,1,2.0,0,1,526.6,250.38,305.31,750.11,78.35308218931439,11.21870049,0.35,0.06855352738095238
4,5.034767494146483,3.083287926380023,0.7077969246287333,0.36492245372567644,138,73.6373267571951,35.953094795884454,2.0,1,0,0.0,1,1,1173.0,171.24,2851.42,193.68,51.59449031756976,12.24009332,0.88,0.012381750000000014
0,7.363017071990232,2.040253945269884,0.7822797938312579,0.38757388628311307,224,44.72603331793242,41.59060384509854,0.0,0,2,0.0,1,1,339.56,166.71,1597.98,306.47,95.09479133934748,11.36650278,0.29,0.1623136904761905
3,5.007624339017279,3.810402297279178,0.7175727974914894,0.3109856102077314,125,73.65705449389262,47.060750159176834,0.0,1,0,1.0,0,0,416.4,174.74,2896.19,194.47,97.09372469473847,11.24325011,0.54,0.0040645
